"title","price","availability","rating"
"A Light in the Attic","£51.77","In stock","star-rating Three"
"Tipping the Velvet","£53.74","In stock","star-rating One"
"Soumission","£50.10","In stock","star-rating One"
"Sharp Objects","£47.82","In stock","star-rating Four"
"Sapiens: A Brief History of Humankind","£54.23","In stock","star-rating Five"
"The Requiem Red","£22.65","In stock","star-rating One"
"The Dirty Little Secrets of Getting Your Dream Job","£33.34","In stock","star-rating Four"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","£17.93","In stock","star-rating Three"
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","£22.60","In stock","star-rating Four"
"The Black Maria","£52.15","In stock","star-rating One"
"Starving Hearts (Triangular Trade Trilogy, #1)","£13.99","In stock","star-rating Two"
"Shakespeare's Sonnets","£20.66","In stock","star-rating Four"
"Set Me Free","£17.46","In stock","star-rating Five"
"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)","£52.29","In stock","star-rating Five"
"Rip it Up and Start Again","£35.02","In stock","star-rating Five"
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","£57.25","In stock","star-rating Three"
"Olio","£23.88","In stock","star-rating One"
"Mesaerion: The Best Science Fiction Stories 1800-1849","£37.59","In stock","star-rating One"
"Libertarianism for Beginners","£51.33","In stock","star-rating Two"
"It's Only the Himalayas","£45.17","In stock","star-rating Two"
